Royalty Date,Title,Author Name,ASIN/ISBN,Marketplace,Royalty Type,Transaction Type,Units Sold,Units Refunded,Net Units Sold,Avg. List Price without tax,Avg. Offer Price without tax,Avg. Delivery/Manufacturing cost,Royalty,Currency
2018-01-27,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.co.uk,70%,,1,0,1,5.65,0.80,0.20,0.42,GBP
2018-01-27,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.nl,70%,,1,0,1,6.77,0.82,0.24,0.41,EUR
2018-01-27,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.fr,70%,,1,0,1,7.76,0.94,0.24,0.49,EUR
2018-01-27,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.co.uk,70%,,10,0,10,5.79,0.82,0.20,4.30,GBP
2018-01-26,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.co.uk,70%,,4,0,4,5.65,0.80,0.20,1.68,GBP
2018-01-26,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.com.au,70%,,1,0,1,11.99,11.99,0.30,8.18,AUD
2018-01-26,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.co.uk,70%,,31,0,31,5.79,0.82,0.20,13.33,GBP
2018-01-26,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.com,70%,,2,0,2,9.61,9.61,0.30,11.82,USD
2018-01-26,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.com,35%,,2,0,2,8.95,8.95,N/A,6.26,USD
2018-01-26,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.in,70%,,1,0,1,380.51,380.51,13.83,256.68,INR
2018-01-26,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.ca,70%,,2,0,2,9.99,9.99,0.30,13.56,CAD
2018-01-26,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.com,70%,,9,0,9,8.95,8.95,0.30,54.54,USD
2018-01-25,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.co.uk,70%,,1,0,1,5.65,0.80,0.20,0.42,GBP
2018-01-25,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.it,70%,,5,0,5,6.71,0.81,0.24,2.00,EUR
2018-01-25,Weg Mit Der Panik: Wie Sie sich von Angst und Panik befreien,Barry McDonagh,B017OHN0LM,Amazon.de,70%,,1,0,1,8.32,8.32,0.13,5.73,EUR
2018-01-25,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.co.uk,70%,,32,0,32,5.79,0.82,0.20,13.76,GBP
2018-01-25,Panico Afuera: Técnica Natural que ayudará a detener rápidamente tus Ataques de Pánico y tu Ansiedad General,Barry McDonagh,B017OIP3FW,Amazon.com,35%,,1,0,1,9.99,9.99,N/A,3.50,USD
2018-01-25,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.com,70%,,1,0,1,8.95,0.00,0.30,0.00,USD
2018-01-25,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.com,70%,,1,0,1,9.61,9.61,0.30,5.91,USD
2018-01-25,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.in,70%,,1,0,1,380.51,380.51,13.83,256.68,INR
2018-01-25,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.com,70%,,14,2,12,8.95,8.95,0.30,72.72,USD
2018-01-25,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.de,70%,,1,0,1,6.88,6.88,0.24,4.65,EUR
2018-01-24,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.it,70%,,1,0,1,6.71,0.81,0.24,0.40,EUR
2018-01-24,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.com.au,70%,,1,0,1,11.99,11.99,0.30,8.18,AUD
2018-01-24,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.fr,70%,,1,0,1,7.00,0.85,0.24,0.43,EUR
2018-01-24,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.co.uk,70%,,8,0,8,5.79,0.82,0.20,3.44,GBP
2018-01-24,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.com,70%,,1,0,1,8.95,0.00,0.30,0.00,USD
2018-01-24,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.com,35%,,1,0,1,8.95,8.95,N/A,3.13,USD
2018-01-24,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.ca,70%,,1,0,1,9.99,9.99,0.30,6.78,CAD
2018-01-24,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.com,70%,,3,0,3,7.83,1.11,0.30,1.71,USD
2018-01-24,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.com,70%,,1,0,1,8.27,1.00,0.30,0.49,USD
2018-01-24,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.com,70%,,21,0,21,8.95,8.95,0.30,127.26,USD
2018-01-23,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.com.au,70%,,3,0,3,11.99,1.49,0.30,2.49,AUD
2018-01-23,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.co.uk,70%,,1,0,1,5.65,0.80,0.20,0.42,GBP
2018-01-23,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.it,70%,,1,0,1,6.71,0.81,0.24,0.40,EUR
2018-01-23,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.com.au,70%,,2,0,2,11.99,11.99,0.30,16.36,AUD
2018-01-23,Weg Mit Der Panik: Wie Sie sich von Angst und Panik befreien,Barry McDonagh,B017OHN0LM,Amazon.de,70%,,1,0,1,8.32,8.32,0.13,5.73,EUR
2018-01-23,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.fr,70%,,2,0,2,7.76,0.94,0.24,0.98,EUR
2018-01-23,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.co.uk,70%,,8,0,8,5.79,0.82,0.20,3.44,GBP
2018-01-23,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.com,35%,,1,0,1,8.95,0.00,N/A,0.00,USD
2018-01-23,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.com,70%,,3,0,3,8.95,0.00,0.30,0.00,USD
2018-01-23,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.com,35%,,1,0,1,8.95,8.95,N/A,3.13,USD
2018-01-23,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.ca,70%,,2,0,2,9.99,9.99,0.30,13.56,CAD
2018-01-23,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.com,70%,,1,0,1,7.83,1.11,0.30,0.57,USD
2018-01-23,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.com,70%,,17,1,16,8.95,8.95,0.30,96.96,USD
2018-01-22,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast (+Bonus Audios),Barry McDonagh,B0158S7E1G,Amazon.com.au,70%,,4,0,4,11.99,1.49,0.30,3.32,AUD
